Date,Buckhorn,Jackson,Oneida,Whitesburg
2018-03-29 00:00:00,24.892,31.496,16.764,0
2018-03-30 00:00:00,18.288,3.556,19.304,11.938
2018-03-31 00:00:00,1.27,0,0.762,1.778
2018-04-01 00:00:00,0.508,5.588,0.508,0
2018-04-02 00:00:00,18.034,19.304,13.716,2.54
2018-04-03 00:00:00,2.032,19.304,2.794,4.572
2018-04-04 00:00:00,35.306,11.43,31.75,11.684
2018-04-05 00:00:00,0,0,0,0
2018-04-06 00:00:00,0,0.762,0,0
2018-04-07 00:00:00,4.064,2.54,3.302,9.652
2018-04-08 00:00:00,1.27,0,0.762,1.778
2018-04-09 00:00:00,2.54,1.27,1.524,2.794
2018-04-10 00:00:00,0,0,0,0.762
2018-04-11 00:00:00,0,0,0,0
2018-04-12 00:00:00,0,0,0,0
2018-04-13 00:00:00,0,0,0,0
2018-04-14 00:00:00,0,0,0,0
2018-04-15 00:00:00,4.318,18.288,17.526,0
2018-04-16 00:00:00,13.97,1.524,14.478,19.304
2018-04-17 00:00:00,0.508,0,1.27,1.778
2018-04-18 00:00:00,0,0.254,0,0
2018-04-19 00:00:00,3.302,1.27,3.81,3.556
2018-04-20 00:00:00,0,0,0,0
2018-04-21 00:00:00,0,0,0,0
2018-04-22 00:00:00,0,0,0,0
2018-04-23 00:00:00,2.794,14.478,1.524,0
2018-04-24 00:00:00,16.51,3.556,20.32,6.096
2018-04-25 00:00:00,10.16,2.54,6.096,8.128
2018-04-26 00:00:00,0.508,2.286,1.016,5.842
2018-04-27 00:00:00,2.032,0.254,3.048,3.048
2018-04-28 00:00:00,0,0,0,0
2018-04-29 00:00:00,0,0,0,0
2018-04-30 00:00:00,0,0,0,0
2018-05-01 00:00:00,0,0,0,0
2018-05-02 00:00:00,0,0,0,0
2018-05-03 00:00:00,0,0,0,0
2018-05-04 00:00:00,0,2.54,0,0
2018-05-05 00:00:00,20.828,38.862,13.462,0.762
2018-05-06 00:00:00,17.272,28.448,21.082,22.86
2018-05-07 00:00:00,2.794,0,0.762,2.54
2018-05-08 00:00:00,0,0,1.524,2.794
2018-05-09 00:00:00,0,0,0,0
2018-05-10 00:00:00,0,0,1.016,0
2018-05-11 00:00:00,0,0,0,3.048
2018-05-12 00:00:00,0,0,0,0
2018-05-13 00:00:00,0,0,0,0
2018-05-14 00:00:00,0,0,0,0
2018-05-15 00:00:00,0,0,0,0
2018-05-16 00:00:00,5.842,1.524,6.35,22.098
2018-05-17 00:00:00,1.27,0,2.54,1.016
2018-05-18 00:00:00,0,27.686,0,13.462
2018-05-19 00:00:00,10.668,12.7,34.798,0.762
2018-05-20 00:00:00,6.096,0,10.922,17.78
2018-05-21 00:00:00,0,8.382,0,0
2018-05-22 00:00:00,0.254,9.144,17.526,5.08
2018-05-23 00:00:00,2.032,0,4.572,0
2018-05-24 00:00:00,0,0,0,0
2018-05-25 00:00:00,0,0,0,0
2018-05-26 00:00:00,0,2.794,0,1.27
2018-05-27 00:00:00,1.27,5.842,1.27,5.334
2018-05-28 00:00:00,0,0.508,0,1.524
2018-05-29 00:00:00,1.524,4.318,0,1.778
2018-05-30 00:00:00,0,5.08,0,1.016
2018-05-31 00:00:00,4.826,9.144,9.906,18.796
